ID,Is_Lead
MEEKFDZZ,0.058546513
ZGY8ETLW,0.20685795
AXVUJHT9,0.14116414
35ILRW7D,0.55529445
DR2U5JQX,0.025897415
WHZ7CEY6,0.28538278
UCPMS2KF,0.060219936
HB6MJHDN,0.22828534
7NWFPJ2X,0.12265169
4QXD6K4K,0.22758223
D6H3RTAZ,0.14701603
L67WSXUY,0.074481145
IXHVY78L,0.085848175
H6KE88O6,0.27407804
EAPKN7G8,0.99475056
GQXJSFJE,0.12493015
BVHSRABV,0.058896124
DUY76GFX,0.1730648
O7H9KPSD,0.4123112
6EDBA5AN,0.089095466
V24CAXFM,0.0720412
SERPSAWP,0.01726578
H47QYY5K,0.04928125
5TYQNFPE,0.3825549
HGDB7KMR,0.46211535
DWH8Q2S3,0.22390187
USNBQZAK,0.048398983
I89VR4AB,0.0652629
ATZVVXWJ,0.521452
HOKP6ZTS,0.087287985
ZDKT2SSW,0.049713314
DK5HJYQE,0.047808863
ABKW7FGW,0.05930906
BCSW3W7T,0.05471805
6T4VNEWD,0.42949435
XBALBNYB,0.27321926
NWMJR3W5,0.051718615
Q5BJ4ULE,0.05990398
DOFSPEWD,0.80777174
ANX8FUBJ,0.060288526
KPR67SVO,0.035110656
44EV7IJE,0.061307497
VZEK4IOK,0.48938265
CZMKWRQN,0.057185575
VGQUQLXT,0.15806337
MS6GASNJ,0.036946416
4ENG9TKV,0.7458968
UHRRWLGR,0.037404377
APFSHZYP,0.056736913
M7MURWXC,0.5312601
3EOATQBT,0.04076976
MDZG7EZX,0.06709472
QZ6LSSTB,0.05856222
Y7EEZYYS,0.93140304
RYKLU6HL,0.050682485
CWQ8OAQ8,0.06035957
WSFUNE28,0.7991688
9PFQKPRB,0.05625589
MCLXWKBC,0.059896328
NWDXDZEN,0.27964494
EBLDBRDR,0.104470804
CJRW5JYT,0.1827392
CMMKRNUZ,0.18052602
EATPTPY3,0.057185575
J5AGUF6Q,0.05281989
8WYO2BBG,0.33620128
9EPXIMZB,0.058699958
UZERUG9W,0.15391906
QEQ79QUC,0.056812964
ZNHVE7QZ,0.11838611
PU3J43GY,0.7606735
HWDBXAUK,0.06336682
W74BHIAD,0.08318338
MGLDAPOA,0.058031432
BYFCPDX5,0.11070634
S2QDUDEJ,0.97034293
HBYRWBWL,0.02799662
8CIAWHWZ,0.89244705
ZFYFFXT5,0.060851563
UGIADHRB,0.14466947
JDDGRBSU,0.23817243
NBS2LTYW,0.2795527
DBKM3FRW,0.6734686
GLBHRXKB,0.03518539
9WDPTNCN,0.026346771
NVVVFQ9U,0.89410704
6AT635HW,0.1652346
HPHDI6NN,0.05423263
CPNAGJ95,0.04729883
FY6AFNCK,0.7677892
KWQAVZOE,0.796098
HGBDE3LM,0.43079707
SYKEB6EV,0.07005059
9BROJWWS,0.43574992
CG8DGVAV,0.24952635
H7MT8CNK,0.09419951
GJVVWNKN,0.8822966
FXWTMJDG,0.15644628
OSNGFACM,0.07099241
PBFT55CF,0.98732835
4P8GFHSL,0.062078506
9ZZ4F4XF,0.3939977
CN4YERMU,0.87385756
8TUDLTWK,0.13965148
USFZPY7Z,0.025956525
VBJXREA8,0.04923286
9LBNXHQ2,0.16165921
PY6HCDWF,0.0593092
9VJMJR6X,0.052046623
4GAEJIQO,0.07248615
F34SD6YQ,0.03853453
HZ3BZVH6,0.19611545
9WVBAWEY,0.21652728
BPNYRSEH,0.07493753
7OGHEHO3,0.15145768
LRJZMHFT,0.059299737
PCHQW72T,0.4809481
BFJQGRFT,0.3921237
UVJ6UYBF,0.066971734
LRVO7MCH,0.2776115
EAOF4EYO,0.83688235
5HPCBEQQ,0.9264011
8FJBKABE,0.0793857
27J5UDAU,0.0686486
4MAT9RSM,0.80456865
SBDGZSY9,0.8676816
HPYN9M2Z,0.05485931
G7D2BESM,0.89617914
TWN7YQPN,0.059273437
BJRGMNFZ,0.17302655
9HFPJV3S,0.05607732
6WKJAUAG,0.047519043
BZUANVCU,0.18649572
NYWLDSFZ,0.8266013
LTW8JGAZ,0.056279585
IMDQJUTW,0.06389531
AVHZRCH8,0.14433224
LTSDWAVT,0.0677738
9WVKLADB,0.5582813
GXDSQJS2,0.051195387
4IHXKUNA,0.3366565
BTYDUQPC,0.057185575
BKCNFM72,0.1005918
UMVSSZ9N,0.036086496
N2STVKOI,0.058950532
ZZJQB3EY,0.4759429
FZJK9GH7,0.051972415
NTIWWNVB,0.050563615
NBCRWUBE,0.1487455
UBPYOBYG,0.053227987
K8RKMGVW,0.46435574
HFTH3NC2,0.06574062
759LCPDE,0.108019345
DYKME2AY,0.6557605
VZHURNZD,0.027357426
EAJJBYHU,0.4200028
T97TKZNT,0.4992037
IXOEQ2YD,0.08226257
BWKXTBCF,0.06173899
DNKPRVB3,0.27796426
JQCF2PXG,0.05496582
GIABLCP4,0.057420727
FDIC7S35,0.47697088
5RTNFJEV,0.038150042
OBZ4CU77,0.05917381
XMVX6WEB,0.15275131
MHARJGPA,0.06771177
2QI5GPDU,0.52307576
AE2NBAJ3,0.02284919
MDLANJZG,0.05497689
7TAP99MA,0.24137656
A6AMKR2Z,0.27580816
DX69CFXV,0.07273739
HKCKEKV4,0.18994804
CBNWXPJJ,0.2607156
Z3SJXFCA,0.14628606
RHTCABWR,0.8120278
ILGMVREG,0.41046903
BZK32SSP,0.057670437
25RR4UGE,0.096765265
9ZQFVNWY,0.12310524
FFSTFCAA,0.2535291
MBEDAX9Z,0.047339156
IYERPTUY,0.14662318
SBNMNBJE,0.022004249
CPWDDHBP,0.5939912
EN5EXSVB,0.14564957
EFT7687S,0.046739507
DUPIVFIW,0.055734348
HTVBHNFH,0.055536684
GFTV6AXH,0.054191507
NTNK2ZYN,0.054398794
NZ2MDLPM,0.22795725
UU4ECFQ5,0.9621848
FFWGNGVJ,0.056723297
JDQIBLRI,0.04699564
ZAWUVVWA,0.06109437
FC24V4XD,0.13270333
EKTZZYA2,0.04725288
RVRMHDD8,0.05883083
3RASGR5Y,0.17900755
QRBESHHG,0.05583737
MXYLFHSV,0.084310606
TY85POPR,0.28796312
BHXO9INE,0.04502243
S2RKLYZH,0.49915075
98GUQS9R,0.5367668
6VD8FK4Y,0.057712715
FMUHBZHQ,0.058031432
IHQY3US8,0.84685683
VDSNW6DR,0.030388504
JF8E8TCY,0.17913494
EKVBDN5B,0.14085808
LJOYHFHT,0.07292613
8WBDXKKG,0.54381675
LNAASJ6O,0.047446202
HGTW39J8,0.06198411
AMYH3YSJ,0.15115425
QZRPEWE6,0.05489317
9RBSJHBJ,0.30675212
EFZ3ADG9,0.05969121
CMQX6K9J,0.15806337
DBVXEJCR,0.06029637
PLYKWBFR,0.056019805
7QNURUDE,0.09027273
M8TD2YPV,0.22668444
JVJZVKUJ,0.8331058
XVUVCSM8,0.483702
C9CMNJEH,0.19004093
IQLV6HTY,0.12712914
ELG7YZUM,0.036594424
PU9KWVOH,0.5289784
HAYJGRRV,0.06258103
KBKUHSLA,0.11156731
USL6KBDY,0.06395497
ZGLCSKTI,0.02921784
9JQWNRGA,0.1507246
EBVUVT88,0.056984123
9ZU5GNSK,0.1301059
EC7NIRSV,0.060894966
JJ23TDTX,0.07439423
IZWY5RYD,0.1544993
TSYCNH93,0.060812946
QSY6Q77W,0.16946407
TOBSGQ3J,0.22124821
FKGE6YRE,0.49796566
MGAYPPJE,0.059518732
IJRFUH6V,0.1237582
KX9Y3LCV,0.05429715
2ZDDJYHE,0.81807065
NBMLMYQE,0.054500856
E8XWCECR,0.38366324
5FP4HKBU,0.14791743
FUKFFD3F,0.2952308
8BDSMQUY,0.042201433
39T7KUFC,0.035791487
HZSPWI2U,0.44180536
LEJJKOWC,0.048434485
DR5F2HVS,0.8158937
BJA5TRWJ,0.14713706
NCVH9WFE,0.085409366
ME3XYUC5,0.7486878
VLCHSDHG,0.06770147
59CV3HQQ,0.21495979
JTAEBBQM,0.048816346
OBHDYLE2,0.17547187
EUEGA65T,0.052866813
MO9XWHWE,0.19846575
K3JSVGHE,0.06762908
JFHAQZQM,0.06355218
22IQJE4I,0.8757714
F57YH86H,0.06250637
BPNYWIPI,0.059515253
FJB78783,0.08288213
DIVE6ZUL,0.04729692
YACVPC9M,0.26478148
A3FM9UVE,0.08479542
9NE6ZC2Q,0.084099926
4NHTDBJN,0.090813786
3FH863BT,0.02284919
3UBBVIGN,0.40912125
NNP9TLV2,0.33575138
SA7VUUTE,0.052743424
ROG7ONJG,0.47015938
ICEBXJHF,0.14442387
HFTYHFAZ,0.045243327
EC5IQBEK,0.09837169
VQPXGNJV,0.04643575
BNE8WOYV,0.9077912
MKEXSYJN,0.052841518
B2MY2KQE,0.16672842
GZVND3WE,0.5330855
JZ8ASRBZ,0.96839494
UMQWVVHH,0.84359336
MDGISGP7,0.06373257
JMVHKVGP,0.025646865
G5GPWASE,0.45227352
A9H3PMBD,0.06238688
DKEMLQCU,0.8241292
VVPNRFRF,0.98577905
AVIBMJNL,0.17679735
3FNEIWTQ,0.06018497
WMQIVFIH,0.060816064
GUSEEXX5,0.17388715
HZBZ7QMH,0.055139385
KMTZWEXS,0.048481684
62AXBXBL,0.12520948
FW6GESXM,0.036156375
A67RATVB,0.06304838
HUWJHKEG,0.05015103
KCHF33KH,0.057399675
CJUKTB4B,0.05725676
FA8NWHGK,0.089095466
6UZE4NSH,0.77969056
4UUZBMXW,0.15032178
QMRXRYDB,0.06717154
M3A5BVAC,0.8749201
II63YKTB,0.107604586
4OYB27TY,0.124548696
IEN9X6H8,0.2590726
U9VVATUM,0.17464957
SFOYCMRR,0.37516278
O7WYJHA5,0.2366276
STEKRYHT,0.016441913
QSX9J6OF,0.2689263
EVT46GYN,0.04561585
IQHUPR8Z,0.062052645
98WUTF8M,0.02343243
5JUSHPUM,0.056849964
9FMK8FZU,0.026022745
WPWW4JUN,0.5837478
8QUXAAHS,0.14540994
EU8RGIP7,0.043096375
BFT7ZJQO,0.05137453
4EQAO8W3,0.9677076
F3RWQSVQ,0.19034347
FUA3S84W,0.06391983
G9WITTNH,0.053296477
TE4CM6N8,0.99180436
L93TY7Q6,0.024119355
MK46HOFS,0.18860593
NSUSAJ7C,0.048309546
ZQXJP6PH,0.19151221
YX6PNVKN,0.0631636
7V7IJDSU,0.33156717
BSDHE7F2,0.254552
DV5EXZEZ,0.7309457
VDKS85PW,0.32998246
4W48SFHV,0.35852864
ANGVCUXZ,0.06494298
IOST7D8C,0.5596758
HAQAECZX,0.05529544
GAB49KQU,0.7818172
GEBCXWCU,0.055836376
JPT2DAGQ,0.5656885
RXYEGKFP,0.5244091
4R6HCRNW,0.0533444
MWRTSE9B,0.047408663
JAC7FJCA,0.44332734
5DCT43QX,0.0638628
GFZMAKDD,0.061509
8WVWSZNF,0.05411578
KCBVOKZ8,0.8342859
NRCEX3F3,0.09315242
59KYREQZ,0.06424217
S2HTHOYG,0.06652224
98QJA4ZA,0.060245734
8S27HJRE,0.15592685
MTEWWARX,0.060796898
PH8LQUCB,0.18780074
BYB9URVZ,0.5092296
3TYYHEQU,0.070926175
WTOPV47E,0.83572066
HGNGPJXH,0.31372318
LE5M9QWH,0.058781613
7YR3Z54H,0.05344489
9DLYZCUW,0.73649955
RKYQQQL5,0.23337458
5UTFCCXZ,0.4333332
JCYRCTNE,0.8262832
AJIVJ4WE,0.15093519
JTCERL4D,0.09152777
XWS2DC9M,0.05269855
TVIX5INS,0.84684247
CIQZ4NJS,0.14774525
EJRPJ86R,0.05819507
HPQBQGWQ,0.05724515
FR38HJFG,0.7820734
JPXNNMXQ,0.5337514
HWED8UBF,0.8747376
CJ6ILARS,0.0611425
MBCCSXEA,0.059250172
4S84NTNM,0.066633664
ADGV3FDY,0.10753082
HSAJUCOR,0.5012627
HHV3JEXF,0.03749084
DHARALYV,0.056322582
KBVN65GH,0.08115433
UYHCQN7W,0.07222719
9VXSCU6F,0.0628192
F2DBEMXE,0.5729421
6VN358PX,0.080886394
T2J5Y8NB,0.056379072
HPXJGYEZ,0.92757225
CS5NAYPP,0.414763
2UC6R5XE,0.8253247
KZ8TKYP4,0.06139408
Y8XIC3AH,0.35819045
GCT9PSGP,0.059507605
MPQQFX4I,0.039089397
8VCZYPZD,0.04555101
JCIQPZLE,0.041651998
AYSUMKSF,0.15193775
VVAVU9BN,0.52617896
F3NBRACB,0.05990398
FPIGVTHX,0.051972415
X7XNXJVW,0.041540544
JEKWRXYH,0.40370837
MNGYZO5U,0.10024032
FXPCJ7GE,0.8678489
BUXRB7CD,0.041135676
JV4MCTHN,0.057950746
JUFQ5PVJ,0.36498386
ENLVSM6O,0.3483626
CJHC43KV,0.3359561
N4NSCGHE,0.52955836
FUVHQRWB,0.05583737
GTQHBCF7,0.4155244
DSB6DIRV,0.1782451
BVUKQQRV,0.03502153
KZCHX6LW,0.82364464
M5XAM7HE,0.057841346
YODUTYZU,0.8967698
JEREISWR,0.4000806
FTHIZFGT,0.20108064
7TCFIDRX,0.09171848
V8CRCBLR,0.063101426
XEDZWKEX,0.5490113
RAD4GZKE,0.05995209
FY8NXMD2,0.028391702
KVZXQCUM,0.42726037
JXRP92WY,0.03368443
IYA3LI6E,0.08784111
FXEUAUMU,0.16358991
KXVZ3BNR,0.032248486
FTDASK8G,0.48942167
JZQZ7RWM,0.05656012
HNPMBXDN,0.048816346
3SUTYK7Z,0.055288807
EHAW2L37,0.043610893
H5HWWKTM,0.13965148
BQVSKRPN,0.030636594
EUK3CR9A,0.13339761
VRMGCTGP,0.06944025
ENDZJZGR,0.07630844
NSSYQFVN,0.050995156
7TRWUSYQ,0.9870494
7Z6JWBCW,0.060284138
7DR4UVAZ,0.18141678
H7YECJLG,0.22728585
CUNTRPMN,0.8522578
VQQEMTVX,0.055207532
NWMFKQLZ,0.053130962
FIUW4SGY,0.056237888
JCVXZSJS,0.06267056
VZRUA5XP,0.4498296
923REBWY,0.059250172
3FKWHVLC,0.057051234
V8JTYKKL,0.30673602
A4MRC8NU,0.485683
CQJTCLCJ,0.39555633
L9O3NMDQ,0.04961617
7DFWCHAN,0.14025372
NK7CWSGK,0.4114541
OLLGNEK9,0.05463416
KVOLRR62,0.12761049
KAI7SJGY,0.13473302
5LYDNC27,0.09558409
LPGW9PN3,0.17976098
4WA5JPWP,0.056445774
GCDXLWAN,0.19846575
7V6GQUOD,0.26303557
ENYQCCWM,0.16646847
B3BUXXA4,0.09308091
PC7INMMF,0.1422872
6PJ9NW3X,0.3739613
DXYC8WIG,0.8221794
DPKUYNJK,0.20737019
6ZRSCJ6J,0.8801094
CPX4EYVB,0.55973035
T28RFIEL,0.060406
D4GXBMM8,0.061908394
JMQJAZHA,0.10082159
RZSFMVB9,0.49876556
T2QWMIDV,0.3838487
GRM6UHIW,0.053805303
X2SD7FMK,0.16756618
I4SENFDI,0.058699038
YSNU9M3K,0.75841194
USGXXPJH,0.5205272
QPQZPSMH,0.027386343
QPZDTV5V,0.052857917
H28ZERNP,0.34823483
UNWHQWCY,0.28417423
7N8BRMDU,0.04903926
DFMGCWHV,0.119779065
8FP6ENF4,0.3244653
FAO6XGQE,0.06780537
X5FCJHQ5,0.051011696
GGFPEVFR,0.18499267
AP9SCCXC,0.18043719
WONWP8QB,0.07967574
CWEKUQ4P,0.153507
C5CGJVQZ,0.81310904
HO4YRWYD,0.048051957
HLIYGGYA,0.05437312
QKAJK2VB,0.46352053
ZEZT2RND,0.06308057
